X,Y,osm_id,osm_type,completeness,#meta +operator,#meta +health_amenity_type,#meta+dispensing,#meta +speciality,#meta+is_in_health_zone,#capacity +staff,#loc+amenity,changeset_id,#access +hours,changeset_timestamp,#meta+emergency,#contact +url,#meta +operator_type,#meta +id,hidden,changeset_version,addr_street,#meta+electricity,#contact +phone,#meta+insurance,#status+operational_status,#meta+is_in_health_area,addr_postcode,#meta+water_source,addr_city,#meta+wheelchair,#capacity +beds,changeset_user,#geo+bounds+url,addr_housenumber,#meta+healthcare,#loc +name
-75.506385754387,-11.8954419600494,7061666697,node,15,Gobierno Regional,,,,,,doctors,78492741,,2019/12/16 21:36:14,,,,65fc953cfd6b40f9adcff94ee8877e3d,0,1,Calle Ica,,,,,,,,,,,karitotp_peruimport,,,,Patacancha
-76.1253739648682,-10.2474650806306,7073535192,node,12,Gobierno Regional,,,,,,doctors,78700414,,2019/12/20 22:00:11,,,,3876a13d09a148d290a57ec8db31f6b4,0,1,,,,,,,,,,,,karitotp_peruimport,,,,Ayancocha Alta
-73.0340265696287,-12.5250739302755,6867639865,node,12,Gobierno Regional,,,,,,doctors,75525980,,2019/10/10 17:09:09,,,,b26a955293b04183910790669f241588,0,1,,,,,,,,,,,,karitotp_peruimport,,,,Kamanquiriato
-75.8901242014581,-13.7235036100559,6347881785,node,15,Gobierno Regional,,,,,,clinic,76228148,,2019/10/25 20:41:39,,,,f8e2d95874b7449897e9bd751b1c1136,0,2,Vía de los Libertadores,,,,,,,,,,,karitotp_peruimport,,,,C.S. Humay
-75.2152937403782,-12.0724489796109,5043483801,node,15,,,,,,,pharmacy,51420305,,2017/08/24 22:23:18,,,,df7100c10f7f4623bb26c8063ff9cd5a,0,3,Jirón Lima,,,,,,,,,,,Baconcrisp,Reconocimiento terrestre cartográfico realizado por Kaart en 2017,,,Farmacia Mafer
,,514092491,way,15,,,,,,,pharmacy,51019586,,2017/08/11 03:54:08,,,,8130e4f615004354afa81fa936dc8b53,0,2,Avenida Las Américas,,,,,,,,,,,JAAS,Kaart Ground Survey 2017,,,Botica
-74.0875290364066,-14.721852902495,7067229315,node,12,Gobierno Regional,,,,,,doctors,78595219,,2019/12/18 17:58:51,,,,66e5ea2ed8294d8cac70880969e86542,0,1,,,,,,,,,,,,karitotp_peruimport,,,,Chilques
-79.0538485762296,-5.45011884145333,7072454881,node,12,Gobierno Regional,,,,,,doctors,78692621,,2019/12/20 16:59:21,,,,70cf3e8d4ce54e26be58a055116b0b9b,0,1,,,,,,,,,,,,karitotp_peruimport,,,,Huahuaya
-70.1857353395009,-15.432646254417,7039401653,node,12,Gobierno Regional,,,,,,doctors,78071458,,2019/12/06 20:35:44,,,,073bcf67b51e4f67be295f02c1033f24,0,1,,,,,,,,,,,,karitotp_peruimport,,,,Unocolla
-77.0406268294447,-11.9013108010134,4334052751,node,15,,,,,,,dentist,41273938,,2016/08/05 20:48:07,,,,54ace22b824142f79a7601aad660bdb8,0,2,Avenida Universitaria,,,,,,,,,,,Baconcrisp,Reconocimiento cartográfico por KG 2016.,,,Dental Asmia
,,835345868,way,15,Minsa,,,,,,doctors,89136232,,2020/08/08 18:50:18,,,,b7eea7174d974ab481553ed2fedf9391,0,1,Jirón Collasuyo Cuadra 2,,,,,,,,,,,ovruni,,,,Las Americas
-71.8572387123852,-16.4219885213438,7044495052,node,12,Gobierno Regional,,,,,,doctors,78160254,,2019/12/09 15:52:41,,,,4658aebb8ba148f5805717d003aa33c9,0,1,,,,,,,,,,,,karitotp_peruimport,,,,Puesto de Salud Benito Lazo
,,621347761,way,18,,,,,,,hospital,75254395,,2019/10/03 22:12:18,yes,,,a57637590f054b688e58fd399545a38d,0,2,Avenida Grau,,,,,,,,,,,karitotp_peruimport,www.minsa.gob.pe,,,Hospital Rosa Sánchez de Santillán de Ascope
-77.0297609492657,-12.1193435485719,4214328591,node,24,,,,,,,pharmacy,72493776,,2019/07/21 22:47:32,,,,6f96ea0f05b946e383350b6f0921e91b,0,9,Avenida José Pardo,,,,,,15074,,Miraflores,yes,,phidauex,,,pharmacy,Mifarma
-74.5368770820255,-8.39258226247813,6858428308,node,12,Gobierno Regional,,,,,,clinic,75386512,,2019/10/07 16:50:22,,,,2a5a311182fe42479acd1057ab99ae4e,0,1,,,,,,,,,,,,karitotp_peruimport,,,,Bellavista
-77.6093495209656,-11.1082645759642,5099307765,node,18,,,,,,,dentist,51981758,,2017/09/12 18:09:14,,,,4a79d070cf1a4802aa6c177b164d91a1,0,2,Avenida Miguel Grau,,,,,,,,,,,burtlang,Kaart Ground Survey 2017,545,,Dental Samaria
-76.5607616154755,-4.8283837136641,7063889326,node,12,Gobierno Regional,,,,,,doctors,78537913,,2019/12/17 17:04:11,,,,519ef9ee01fb4f0ca852db7edfe8dde2,0,1,,,,,,,,,,,,karitotp_peruimport,,,,Chuintar
-70.3417058775727,-15.2794940474683,7044557516,node,12,Gobierno Regional,,,,,,doctors,78162041,,2019/12/09 16:31:13,,,,df8c4cd1fff44f009072b06d671d2c5e,0,1,,,,,,,,,,,,karitotp_peruimport,,,,Quelloquello
-79.0327408485629,-8.10293654586192,5051928709,node,15,,,,,,,pharmacy,51420435,,2017/08/24 22:32:02,,,,77b9316936d34a948a44bddf90ea6979,0,3,Avenida Manuel Vera Enriquez,,,,,,,,,,,Baconcrisp,Reconocimiento terrestre cartográfico realizado por Kaart en 2017,,,Mifarma
,,813635691,way,9,,,,,,,pharmacy,86309680,,2020/06/07 14:23:13,,,,9ee5453037c44a8594a19c3a48e58b51,0,1,Jiron Ancash,,,,,,,,,,,Elsy Rivadeneyra,,,,
-74.2175311811613,-13.1553428413237,7300084972,node,6,,,,,,,pharmacy,82272479,,2020/03/16 19:54:26,,,,f01db3e707a343cc93321e9104621ff3,0,1,,,,,,,,,,,,ediyes,,,,
-79.028058214536,-8.10235115374428,5073653852,node,15,,,,,,,dentist,51731997,,2017/09/04 21:22:45,,,,8fed9eaa005547eda7d49191cae4a840,0,2,Avenida Salvador Lara,,,,,,,,,,,zwaygp,Kaart Ground Survey 2017,,,JV Dent
